channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
16-16-16-16-12-28-28-28-20-28-48-48-48-40-56,-400.4370348806786,15.740000012207032,17.240000064086914,2.7071760215759277,4.493439677810669,279162,50061872,0.6014426246461304,0.7269821037233103,0.3985573753538696,0.2730178962766897,81.18000014648437,405.90000073242186,0.42659735679626465,1,True
16-16-16-12-16-32-28-28-20-24-56-56-40-48-64,-442.85348741786464,8.800000022888183,15.920000173950195,5.914986368560791,5.053318856048584,318938,52458112,0.6871383204712229,0.7617795159380583,0.3128616795287771,0.23822048406194174,88.12000013580322,440.60000067901615,0.3589940071105957,1,True
16-16-16-16-16-28-32-28-20-24-56-64-40-48-56,-406.927312224821,14.86000010986328,19.780000201416016,2.657954009246826,4.172278273010254,324922,55001648,0.7000305932944669,0.798715912407131,0.29996940670553307,0.20128408759286898,82.06000004882813,410.3000002441406,0.34168457984924316,1,True
16-16-16-16-16-32-32-28-20-24-56-56-48-40-56,-347.1614915306609,24.800000173950195,16.28999992675781,2.9072789836883546,4.611127018356323,313242,55001648,0.6748665313667447,0.798715912407131,0.3251334686332553,0.20128408759286898,72.11999998474121,360.59999992370604,0.335158109664917,1,True
16-16-16-16-16-32-28-28-20-20-56-56-56-48-56,-324.7016827843064,28.58000007324219,40.76000013427734,2.4131754833221435,2.624709083366394,333434,55020080,0.7183693343157659,0.7989835758723691,0.2816306656842341,0.20101642412763088,68.34000008544922,341.7000004272461,0.3377816677093506,1,True
16-16-16-16-16-32-32-28-20-24-56-56-56-48-56,-333.9400863731889,27.100000158691405,17.940000088500977,2.534524407196045,4.7198417839050295,342106,56844848,0.7370527885141569,0.8254822589309447,0.2629472114858431,0.17451774106905527,69.82000000000001,349.1,0.3266110420227051,1,True
16-16-16-16-16-32-32-28-20-24-56-64-48-48-64,-358.2071406796246,23.100000201416016,22.150000225830077,2.8926334808349607,4.646012893295288,355466,57692800,0.765836338801346,0.837795940065689,0.23416366119865395,0.16220405993431097,73.8199999572754,369.099999786377,0.3912813663482666,1,True
16-16-16-16-16-32-28-28-20-20-56-40-48-40-64,-355.2168746609161,23.339999884033205,24.160000061035156,3.103887463760376,4.38659808921814,287338,52071040,0.619057467995536,0.7561585831680573,0.38094253200446404,0.24384141683194271,73.5800002746582,367.90000137329105,0.3414492607116699,1,True
16-16-16-16-12-28-32-28-20-20-48-56-48-48-56,-417.2200281274546,13.02000001373291,13.970000115966798,2.6025991371154786,4.838292378616333,303258,51462704,0.6533564291161985,0.7473245270814087,0.3466435708838015,0.25267547291859127,83.9000001449585,419.50000072479247,0.34873270988464355,1,True
16-16-16-12-16-32-32-28-20-20-56-56-48-48-56,-407.7834972710845,14.660000088500977,16.720000018310547,3.520010285568237,4.527815807723999,320586,52955696,0.6906888661952714,0.7690052677656978,0.30931113380472863,0.23099473223430222,82.26000007019043,411.30000035095213,0.34055137634277344,1,True
16-16-16-16-16-32-28-28-20-20-56-56-48-48-56,-344.44082836433813,25.239999896240235,38.20000023193359,2.927943996810913,2.7387891401290894,318426,54061616,0.6860352383045283,0.7850650756799861,0.3139647616954717,0.21493492432001393,71.68000026245117,358.4000013122559,0.34632205963134766,1,True
16-16-16-16-16-32-32-28-20-20-48-56-48-40-56,-374.46999338944596,20.179999948120116,19.82999984741211,2.852518837738037,4.244109439468383,295914,53453360,0.6375340942876717,0.7762321813271275,0.3624659057123283,0.22376781867287254,76.7400002105713,383.70000105285646,0.3349587917327881,1,True
16-16-16-16-12-32-28-28-20-24-56-56-48-48-56,-428.5239099930568,11.199999966430664,17.19000001220703,4.056754376983642,4.535729705047608,320010,52863536,0.6894478987577399,0.7676669504395072,0.31055210124226007,0.23233304956049283,85.72000019226074,428.6000009613037,0.3457050323486328,1,True
