channels,fitness,test_acc,train_acc,test_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,eval_time_sec,epochs
12-28-56,12.663534559580661,34.4,31.76,1.7362678995132446,1.7592709716796875,350454,47794736,0.7550381985289365,0.6940594974990195,0.2449618014710635,0.3059405025009805,1.8884072303771973,3
8-24-40,19.057193568478297,31.3,31.34,1.8474888038635253,1.7820950439453125,194466,27353488,0.4189687043524348,0.3972183910823455,0.5810312956475652,0.6027816089176545,2.1850388050079346,3
16-28-40,17.77745056576146,36.25,31.88,1.7050108337402343,1.7780898529052733,232810,50264464,0.5015792172425532,0.7299240783733496,0.49842078275744683,0.2700759216266504,1.8659319877624512,3
12-24-40,20.762006374924496,34.95,32.12,1.7016396551132202,1.7971754638671875,202726,35058064,0.4367645221198137,0.5091017195518868,0.5632354778801862,0.49089828044811323,1.8711111545562744,3
12-28-32,20.43001274949083,33.95,30.76,1.7280745162963866,1.7496302978515625,172614,36458816,0.37188950219108313,0.529442981176195,0.6281104978089169,0.47055701882380496,2.2444159984588623,3
8-28-32,17.537883474892517,29.1,30.4,1.750657705307007,1.7990905395507812,164210,28717376,0.3537834425643213,0.4170243257761776,0.6462165574356786,0.5829756742238223,1.8530068397521973,3
12-20-32,20.70750517945865,31.3,31.08,1.7750903015136719,1.76896904296875,138182,28127552,0.2977072264808663,0.4084590948885572,0.7022927735191338,0.5915409051114429,2.2488346099853516,3
8-16-32,26.898616164407635,34.45,30.46,1.7516308612823486,1.7949489501953124,116882,17326400,0.2518172847804823,0.251608304259009,0.7481827152195177,0.7483916957409911,9.755339622497559,3
8-20-40,20.707426672743395,31.6,32.76,1.7902427520751953,1.7415737915039062,178402,23538064,0.38435950137238933,0.34181205377805124,0.6156404986276107,0.6581879462219488,3.9151666164398193,3
8-28-56,15.571405284982351,35.35,30.92,1.719902572631836,1.7768322021484375,342050,40053296,0.7369321389021747,0.581640842099002,0.2630678610978253,0.418359157900998,2.8612937927246094,3
8-32-40,15.721816640162194,31.35,34.48,1.845094038963318,1.7344561157226563,234370,36974992,0.5049401707192009,0.536938719936653,0.49505982928079906,0.463061280063347,2.9539175033569336,3
8-32-48,12.419668369098744,30.8,30.62,1.8005102920532225,1.7953299194335937,293938,40772064,0.6332768865505845,0.5920785555094993,0.36672311344941555,0.4079214444905007,2.489792823791504,3
12-16-48,17.060676633865278,31.45,34.46,1.7467509393692016,1.7231957763671875,231318,31740384,0.49836476686616943,0.4609234575428122,0.5016352331338305,0.5390765424571877,6.346579074859619,3
16-28-56,8.620198959792575,33.05,34.36,1.7871097173690795,1.7396343017578124,361738,58485296,0.7793490953433558,0.8493043073371389,0.22065090465664416,0.1506956926628611,5.940016746520996,3
16-32-32,15.167792042977997,33.2,34.5,1.8249725131988526,1.6993013916015625,205146,52347200,0.44197830892333145,0.760168888211469,0.5580216910766685,0.239831111788531,2.5494940280914307,3
12-28-40,15.970786165549539,31.75,32.14,1.7870604991912842,1.78615078125,221526,39573904,0.4772683204281338,0.5746792685352303,0.5227316795718662,0.4253207314647697,2.6011886596679688,3
8-24-32,21.453097944659525,31.45,27.94,1.7555143871307373,1.8321475708007813,145842,24256832,0.31421036983414985,0.35224976718854845,0.6857896301658502,0.6477502328114515,2.809408187866211,3
8-20-48,22.145245024960122,35.75,32.9,1.7403131046295166,1.7733747802734374,237106,27279840,0.5108347660474756,0.39614889895518307,0.4891652339525244,0.6038511010448169,2.2351856231689453,3
