feature,pcc,abs_pcc,rank,selected,scenario,case,source_battery,target_battery
voltage_at_25pct_time,0.857632319608381,0.857632319608381,13,False,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_4p0v_s,0.8522661725394184,0.8522661725394184,14,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_mean,0.8217602071749245,0.8217602071749245,15,False,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_3p9v_s,0.8087342896306948,0.8087342896306948,16,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_slope,-0.8085573285467763,0.8085573285467763,17,False,B_chrono_B0005_first60_last40,B,B0005,B0005
early_voltage_mean,0.7909011466955104,0.7909011466955104,18,False,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_4p1v_s,0.6986900744072154,0.6986900744072154,19,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_start,-0.673498486551736,0.673498486551736,20,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_max,-0.673498486551736,0.673498486551736,21,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_max,-0.6702910815726643,0.6702910815726643,22,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_min,-0.4972811499106407,0.4972811499106407,23,False,B_chrono_B0005_first60_last40,B,B0005,B0005
avg_power_w,0.44195899052440485,0.44195899052440485,24,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_at_75pct_time,-0.3995942422675801,0.3995942422675801,25,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_rise,-0.38202743478634343,0.38202743478634343,26,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_start,0.32606441792530644,0.32606441792530644,27,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_min,0.3254868727889109,0.3254868727889109,28,False,B_chrono_B0005_first60_last40,B,B0005,B0005
current_std,-0.3219255434342062,0.3219255434342062,29,False,B_chrono_B0005_first60_last40,B,B0005,B0005
current_abs_mean,0.3129128415290573,0.3129128415290573,30,False,B_chrono_B0005_first60_last40,B,B0005,B0005
current_mean,-0.3127821886198575,0.3127821886198575,31,False,B_chrono_B0005_first60_last40,B,B0005,B0005
voltage_std,0.28160404600562394,0.28160404600562394,32,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_at_25pct_time,0.25022123189989476,0.25022123189989476,33,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_end,-0.22514653675015622,0.22514653675015622,34,False,B_chrono_B0005_first60_last40,B,B0005,B0005
early_temp_mean,0.2021183608615574,0.2021183608615574,35,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_mean,-0.193315444147299,0.193315444147299,36,False,B_chrono_B0005_first60_last40,B,B0005,B0005
temp_at_50pct_time,-0.0060405358923192095,0.0060405358923192095,37,False,B_chrono_B0005_first60_last40,B,B0005,B0005
ambient_temperature,0.0,0.0,38,False,B_chrono_B0005_first60_last40,B,B0005,B0005
time_to_3p5v_s,0.996227316634568,0.996227316634568,1,True,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_3p6v_s,0.9957711512546253,0.9957711512546253,2,True,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_3p7v_s,0.9917315777919407,0.9917315777919407,3,True,B_chrono_B0006_first60_last40,B,B0006,B0006
early_voltage_slope,0.9890208519881457,0.9890208519881457,4,True,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_mean,0.9842565952131389,0.9842565952131389,5,True,B_chrono_B0006_first60_last40,B,B0006,B0006
global_cycle_index,-0.9825680064676472,0.9825680064676472,6,True,B_chrono_B0006_first60_last40,B,B0006,B0006
cycle_index,-0.9807788548032809,0.9807788548032809,7,True,B_chrono_B0006_first60_last40,B,B0006,B0006
current_std,-0.9802181192280749,0.9802181192280749,8,True,B_chrono_B0006_first60_last40,B,B0006,B0006
duration_s,0.9765681545782883,0.9765681545782883,9,False,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_3p8v_s,0.9728717611203584,0.9728717611203584,10,False,B_chrono_B0006_first60_last40,B,B0006,B0006
avg_power_w,0.9700397366903067,0.9700397366903067,11,False,B_chrono_B0006_first60_last40,B,B0006,B0006
time_to_3p9v_s,0.9697061341390866,0.9697061341390866,12,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_at_50pct_time,0.9693692728663033,0.9693692728663033,13,False,B_chrono_B0006_first60_last40,B,B0006,B0006
current_mean,-0.9683550508218793,0.9683550508218793,14,False,B_chrono_B0006_first60_last40,B,B0006,B0006
current_abs_mean,0.9683534491977432,0.9683534491977432,15,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_at_25pct_time,0.9619802776083992,0.9619802776083992,16,False,B_chrono_B0006_first60_last40,B,B0006,B0006
voltage_at_75pct_time,0.9555191589526514,0.9555191589526514,17,False,B_chrono_B0006_first60_last40,B,B0006,B0006
early_voltage_mean,0.9553957172400147,0.9553957172400147,18,False,B_chrono_B0006_first60_last40,B,B0006,B0006
