channels,fitness,val_acc,train_acc,val_loss,train_loss,params,flops,params_ratio,flops_ratio,params_compression_rate,flops_reduction_rate,below_baseline_short_by,penalty,eval_time_sec,epochs,inherited
12-12-16-8-12-16-28-24-16-24-48-32-40-32-64,-435.75152728377674,9.399999769592284,15.549999319458008,2.475426508331299,3.994674465560913,212486,34173568,0.4577920259224309,0.49625735842182644,0.5422079740775692,0.5037426415781736,87.57999866790772,437.8999933395386,0.585974931716919,1,True
12-12-12-8-12-16-28-28-16-24-40-32-40-40-64,-429.20789640801945,10.479999661254883,18.72999911804199,3.3688150688171388,4.415834706497193,216518,33436288,0.46647879798515146,0.48555081981230097,0.5335212020148485,0.514449180187699,86.49999877624512,432.4999938812256,0.8106734752655029,1,True
12-12-16-8-12-16-32-24-16-24-40-32-40-40-64,-421.69054510254387,11.779999591064453,11.319999885559081,5.028730550384521,3.5356341495513917,218406,35242624,0.4705464134748381,0.5117818394056384,0.529453586525162,0.4882181605943616,85.19999884643555,425.99999423217776,0.4145956039428711,1,True
12-8-16-8-12-20-32-24-16-24-40-32-40-40-64,-431.63306263213775,10.09999969177246,13.789999554443359,10.717979977416991,3.396818433380127,219558,34210432,0.4730283483499011,0.49679268535230275,0.5269716516500988,0.5032073146476972,86.87999874572753,434.3999937286377,0.9563965797424316,1,True
12-12-12-12-12-16-32-24-16-24-48-40-40-40-64,-428.58747951590067,10.69999938659668,17.04999954223633,2.8528123359680175,4.445356736755371,240214,36496000,0.5175308195124894,0.5299829550418317,0.48246918048751064,0.4700170449581683,86.27999905090331,431.39999525451657,0.559361457824707,1,True
12-12-16-12-8-24-32-24-20-24-40-32-40-40-56,-422.6640941173257,11.659999630737305,14.409999349975585,12.99799659423828,3.7757514934539795,215606,37196336,0.46451393287572657,0.5401530049870908,0.5354860671242734,0.45984699501290915,85.3199988067627,426.59999403381346,0.9224145412445068,1,True
12-16-16-8-16-16-32-28-16-28-48-32-32-32-64,-429.6486274973216,10.559999758911133,17.019999426269532,2.5203359340667726,4.514047700881958,218006,39666304,0.4696846305321079,0.5760210710627912,0.5303153694678922,0.4239789289372088,86.41999867858887,432.0999933929443,0.6401462554931641,1,True
12-12-16-8-12-16-32-24-16-24-40-32-40-32-64,-416.1559221014652,12.65999958190918,12.769999618530273,3.0380643268585206,3.5040615524291994,205702,34431616,0.4431761872137265,0.5000046469351603,0.5568238127862735,0.49999535306483966,84.31999885559082,421.5999942779541,0.692807674407959,1,True
12-16-16-8-12-16-32-32-16-20-40-32-40-40-56,-446.4865794397318,7.699999688720703,13.199999392700196,2.8802969058990477,3.9097108222961428,212710,37841456,0.4582746243703598,0.5495212262704257,0.5417253756296402,0.45047877372957434,89.27999874877929,446.39999374389646,0.5880069732666016,1,True
12-8-12-8-12-24-32-24-16-28-40-32-40-48-64,-425.71653546303526,11.139999954223633,14.419999322509765,2.355739086532593,3.703179888153076,238902,35003008,0.5147041714603343,0.5083022143575426,0.4852958285396657,0.49169778564245736,85.83999848327636,429.1999924163818,0.7298808097839355,1,True
12-12-12-8-12-16-32-24-16-24-40-40-40-40-64,-419.71475068516594,12.09999948425293,13.889999531555176,3.8949854701995847,4.388825798797607,227638,34173568,0.49043636379305144,0.49625735842182644,0.5095636362069486,0.5037426415781736,84.87999895324707,424.39999476623535,0.803351640701294,1,True
12-12-16-12-8-24-32-28-16-24-32-32-40-40-64,-422.01881879182065,11.779999475097656,12.609999519348145,2.9758455280303955,3.8426899681091307,218566,37491328,0.47089112665193017,0.544436782164691,0.5291088733480698,0.45556321783530895,85.19999896240235,425.9999948120117,0.6635940074920654,1,True
12-12-16-8-12-16-32-28-16-24-48-32-40-32-64,-422.29709582632967,11.699999786376953,14.169999566650391,3.4907209255218508,3.5287097179412843,219718,36016768,0.4733730615269932,0.5230237049456401,0.5266269384730068,0.4769762950543599,85.27999865112305,426.39999325561524,0.6129894256591797,1,True
12-12-12-8-12-16-32-28-16-24-40-32-40-40-64,-403.94758664562954,14.719999421691895,13.659999472045898,3.97337106590271,4.258265546798706,220278,34394752,0.4745795576468155,0.49946932000468414,0.5254204423531845,0.5005306799953159,82.2599990158081,411.2999950790405,0.6654648780822754,1,True
12-12-16-12-12-16-32-24-16-24-40-40-40-40-64,-412.34623945575646,13.419999287414552,12.439999554443359,20.790321783447265,3.760722142791748,231126,37712512,0.4979511110536589,0.5476487437475488,0.502048888946341,0.4523512562524512,83.55999915008545,417.79999575042723,0.7279469966888428,1,True
12-16-16-8-12-16-28-32-16-24-40-32-40-40-64,-410.18500472167386,13.779999102783203,11.819999697875977,16.534945904541015,3.447695443344116,224054,38228608,0.4827147886261887,0.5551433207742166,0.5172852113738113,0.4448566792257834,83.1999993347168,415.99999667358395,0.6872725486755371,1,True
